Created with UCDetector 1.10.0	2016-04-24 09:36:44	http://www.ucdetector.org/	
Location	Description	Java	Marker	Author
TerrainBase.Patch.<init>(Patch.java:13)	Change visibility of Class "Patch" to default - May cause compile errors!	Patch	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Patch.Patch(Patch.java:25)	Constructor "Patch.Patch(Cell)" has 0 references	Patch.Patch(Cell)	org.ucdetector.analyzeMarkerReference	Philip Larby
TerrainBase.Patch.Patch(Patch.java:37)	Change visibility of Constructor "Patch.Patch(int,int,int,Cell)" to default	Patch.Patch(int,int,int,Cell)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Patch.CellCount(Patch.java:121)	Change visibility of Method "Patch.CellCount()" to default	Patch.CellCount()	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Patch.update(Patch.java:138)	Change visibility of Method "Patch.update()" to default	Patch.update()	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Patch.draw(Patch.java:148)	Change visibility of Method "Patch.draw(PApplet)" to default	Patch.draw(PApplet)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Scaffold.<init>(Scaffold.java:5)	Change visibility of Class "Scaffold" to default - May cause compile errors!	Scaffold	org.ucdetector.analyzeMarkerVisibilityDefault	
TerrainBase.Scaffold.Scaffold(Scaffold.java:33)	Change visibility of Constructor "Scaffold.Scaffold(float,float,float,float,float,float,*,*,*)" to private	Scaffold.Scaffold(float,float,float,float,float,float,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
TerrainBase.Scaffold.update(Scaffold.java:59)	Change visibility of Method "Scaffold.update()" to default	Scaffold.update()	org.ucdetector.analyzeMarkerVisibilityDefault	
TerrainBase.Scaffold.draw(Scaffold.java:68)	Change visibility of Method "Scaffold.draw(PApplet)" to default	Scaffold.draw(PApplet)	org.ucdetector.analyzeMarkerVisibilityDefault	
TerrainBase.Scaffold._rootCell(Scaffold.java:6)	Change visibility of Field "Scaffold._rootCell" to private	Scaffold._rootCell	org.ucdetector.analyzeMarkerVisibilityPrivate	
TerrainBase.Scaffold._rootPatch(Scaffold.java:7)	Change visibility of Field "Scaffold._rootPatch" to private	Scaffold._rootPatch	org.ucdetector.analyzeMarkerVisibilityPrivate	
TerrainBase.Cell.Cell(Cell.java:55)	Change visibility of Constructor "Cell.Cell(float,float,float,float,float,float)" to default	Cell.Cell(float,float,float,float,float,float)	org.ucdetector.analyzeMarkerVisibilityDefault	larbyp
TerrainBase.Cell.Cell(Cell.java:70)	Change visibility of Constructor "Cell.Cell(float,float,float,float,float,float,*)" to default	Cell.Cell(float,float,float,float,float,float,*)	org.ucdetector.analyzeMarkerVisibilityDefault	larbyp
TerrainBase.Cell.Cell(Cell.java:87)	Constructor "Cell.Cell(float,float,float,int,float,float,*,*)" has 0 references	Cell.Cell(float,float,float,int,float,float,*,*)	org.ucdetector.analyzeMarkerReference	larbyp
TerrainBase.Cell.Cell(Cell.java:105)	Change visibility of Constructor "Cell.Cell(float,float,float,int,float,float,*,*,*)" to default	Cell.Cell(float,float,float,int,float,float,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	larbyp
TerrainBase.Cell.getVertex(Cell.java:174)	Method "Cell.getVertex(int)" is only called from tests	Cell.getVertex(int)	org.ucdetector.analyzeMarkerTestOnly	larbyp
TerrainBase.Cell.getEdgeCentreVertex(Cell.java:211)	Method "Cell.getEdgeCentreVertex(int)" is only called from tests	Cell.getEdgeCentreVertex(int)	org.ucdetector.analyzeMarkerTestOnly	larbyp
TerrainBase.Cell.SetNormal(Cell.java:246)	Method "Cell.SetNormal(PVector)" has 0 references	Cell.SetNormal(PVector)	org.ucdetector.analyzeMarkerReference	larbyp
TerrainBase.Cell.vertexCount(Cell.java:255)	Method "Cell.vertexCount()" has 0 references	Cell.vertexCount()	org.ucdetector.analyzeMarkerReference	larbyp
TerrainBase.Cell.VertexInside(Cell.java:265)	Method "Cell.VertexInside(int)" is only called from tests	Cell.VertexInside(int)	org.ucdetector.analyzeMarkerTestOnly	larbyp
TerrainBase.Cell.AddLOD(Cell.java:286)	Change visibility of Method "Cell.AddLOD()" to private	Cell.AddLOD()	org.ucdetector.analyzeMarkerVisibilityPrivate	larbyp
TerrainBase.Cell.AddLOD(Cell.java:292)	Change visibility of Method "Cell.AddLOD(int,int,int)" to private	Cell.AddLOD(int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	larbyp
TerrainBase.Cell.setChildPatch(Cell.java:350)	Change visibility of Method "Cell.setChildPatch(Patch)" to default	Cell.setChildPatch(Patch)	org.ucdetector.analyzeMarkerVisibilityDefault	larbyp
TerrainBase.Cell.ClearChildPatch(Cell.java:362)	Change visibility of Method "Cell.ClearChildPatch()" to private	Cell.ClearChildPatch()	org.ucdetector.analyzeMarkerVisibilityPrivate	larbyp
TerrainBase.Cell.CamDistance(Cell.java:370)	Change visibility of Method "Cell.CamDistance()" to private	Cell.CamDistance()	org.ucdetector.analyzeMarkerVisibilityPrivate	larbyp
TerrainBase.Cell.hasChildPatch(Cell.java:376)	Change visibility of Method "Cell.hasChildPatch()" to private	Cell.hasChildPatch()	org.ucdetector.analyzeMarkerVisibilityPrivate	larbyp
TerrainBase.Cell.CalculateEdgeCycleLength(Cell.java:599)	Change visibility of Method "Cell.CalculateEdgeCycleLength(Integer[])" to private	Cell.CalculateEdgeCycleLength(Integer[])	org.ucdetector.analyzeMarkerVisibilityPrivate	larbyp
TerrainBase.Cell.CalculateEdgeVertexDistances(Cell.java:618)	Change visibility of Method "Cell.CalculateEdgeVertexDistances(int[])" to private	Cell.CalculateEdgeVertexDistances(int[])	org.ucdetector.analyzeMarkerVisibilityPrivate	larbyp
TerrainBase.Cell.update(Cell.java:678)	Change visibility of Method "Cell.update()" to default	Cell.update()	org.ucdetector.analyzeMarkerVisibilityDefault	larbyp
TerrainBase.Cell.draw(Cell.java:701)	Change visibility of Method "Cell.draw(PApplet)" to default	Cell.draw(PApplet)	org.ucdetector.analyzeMarkerVisibilityDefault	larbyp
TerrainBase.Surface.getAdjacentVertiexIDs(Surface.java:158)	Change visibility of Method "Surface.getAdjacentVertiexIDs(int)" to default	Surface.getAdjacentVertiexIDs(int)	org.ucdetector.analyzeMarkerVisibilityDefault	Philip Larby
TerrainBase.Surface.orderEdges(Surface.java:195)	Method "Surface.orderEdges(int)" has 0 references	Surface.orderEdges(int)	org.ucdetector.analyzeMarkerReference	Philip Larby
TerrainBase.Surface.orderEdges(Surface.java:206)	Change visibility of Method "Surface.orderEdges(int[])" to private	Surface.orderEdges(int[])	org.ucdetector.analyzeMarkerVisibilityPrivate	Philip Larby
TerrainBase.Surface.getAdjacentEdges(Surface.java:245)	Change visibility of Method "Surface.getAdjacentEdges(int)" to private	Surface.getAdjacentEdges(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	Philip Larby
TerrainBase.Surface.CreateCellInstances(Surface.java:266)	Method "Surface.CreateCellInstances()" has 0 references	Surface.CreateCellInstances()	org.ucdetector.analyzeMarkerReference	Philip Larby
TerrainBase.Surface.edgeorder(Surface.java:278)	Field "Surface.edgeorder" has 0 references	Surface.edgeorder	org.ucdetector.analyzeMarkerReference	Philip Larby
TerrainBase.CubeBase.<init>(CubeBase.java:12)	Class "CubeBase" has 0 references	CubeBase	org.ucdetector.analyzeMarkerReference	Phil Larby
TerrainBase.DensityVertex.DensityVertex(DensityVertex.java:18)	Change visibility of Constructor "DensityVertex.DensityVertex(float,float,float,int,Cell)" to default	DensityVertex.DensityVertex(float,float,float,int,Cell)	org.ucdetector.analyzeMarkerVisibilityDefault	Phil Larby
TerrainBase.DensityVertex.DensityVertex(DensityVertex.java:25)	Constructor "DensityVertex.DensityVertex(PVector,int,Cell)" has 0 references	DensityVertex.DensityVertex(PVector,int,Cell)	org.ucdetector.analyzeMarkerReference	Phil Larby
TerrainBase.DensityVertex.x(DensityVertex.java:67)	Method "DensityVertex.x(float)" has 0 references	DensityVertex.x(float)	org.ucdetector.analyzeMarkerReference	Phil Larby
TerrainBase.DensityVertex.y(DensityVertex.java:73)	Method "DensityVertex.y(float)" has 0 references	DensityVertex.y(float)	org.ucdetector.analyzeMarkerReference	Phil Larby
TerrainBase.DensityVertex.z(DensityVertex.java:79)	Method "DensityVertex.z(float)" has 0 references	DensityVertex.z(float)	org.ucdetector.analyzeMarkerReference	Phil Larby
TerrainBase.DensityVertex.update(DensityVertex.java:85)	Method "DensityVertex.update()" has 0 references	DensityVertex.update()	org.ucdetector.analyzeMarkerReference	Phil Larby
TerrainBase.Camera.<init>(Camera.java:15)	Change visibility of Class "Camera" to default - May cause compile errors!	Camera	org.ucdetector.analyzeMarkerVisibilityDefault	phil_j5igwo1
TerrainBase.Camera.Camera(Camera.java:33)	Change visibility of Constructor "Camera.Camera(PApplet)" to default	Camera.Camera(PApplet)	org.ucdetector.analyzeMarkerVisibilityDefault	phil_j5igwo1
